MoA	cmap_name	inchi_key	pert_id	target
MTOR inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	MTOR
MTOR inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CA
MTOR inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CD
MTOR inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CG
MTOR inhibitor	palomid-529	YEAHTLOYHVWAKW-UHFFFAOYSA-N	BRD-A50998626	MTOR
MTOR inhibitor	torin-1	AKCRNFFTGXBONI-UHFFFAOYSA-N	BRD-K40175214	MTOR
MTOR inhibitor	torin-2	GUXXEUUYCAYESJ-UHFFFAOYSA-N	BRD-K68174511	MTOR
PI3K inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	MTOR
PI3K inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CA
PI3K inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CD
PI3K inhibitor	NVP-BEZ235	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	BRD-K12184916	PIK3CG
PI3K inhibitor	TG-100115	UJIAQDJKSXQLIT-UHFFFAOYSA-N	BRD-K64785675	PIK3CG
PI3K inhibitor	torin-1	AKCRNFFTGXBONI-UHFFFAOYSA-N	BRD-K40175214	MTOR
RIPK inhibitor	necrostatin-1	TXUWMXQFNYDOEZ-UHFFFAOYSA-N	BRD-A36318220	RIPK1
SIRT inhibitor	tenovin-6	BVJSXSQRIUSRCO-UHFFFAOYSA-N	BRD-K13949769	SIRT2
SIRT inhibitor	tenovin-6	BVJSXSQRIUSRCO-UHFFFAOYSA-N	BRD-K13949769	SIRT3
SIRT inhibitor	tenovin-6	BVJSXSQRIUSRCO-UHFFFAOYSA-N	BRD-K13949769	SIRT1
TP53 inhibitor	PRIMA1	RFBVBRVVOPAAFS-UHFFFAOYSA-N	BRD-K15318909	ACHE
PDGFR inhibitor	DMBI	UAKWLVYMKBWHMX-RVDMUPIBSA-N	BRD-K96084870	PDGFRB
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT1
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT3
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT4
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KDR
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KIT
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRA
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRB
PDGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	RET
USP14 inhibitor	IU1	JUWDSDKJBMFLHE-UHFFFAOYSA-N	BRD-K45841694	USP14
VEGFR inhibitor	DMBI	UAKWLVYMKBWHMX-RVDMUPIBSA-N	BRD-K96084870	PDGFRB
VEGFR inhibitor	oxindole-I	SEZFNTZQMWJIAI-FLIBITNWSA-N	BRD-K51816706	KDR
VEGFR inhibitor	palomid-529	YEAHTLOYHVWAKW-UHFFFAOYSA-N	BRD-A50998626	MTOR
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT1
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT3
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT4
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KDR
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KIT
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRA
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRB
VEGFR inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	RET
ATPase inhibitor	DBeQ	QAIMUUJJAJBPCL-UHFFFAOYSA-N	BRD-K59204667	CASP3
Dynamin inhibitor	mdivi-1	NZJKEVWTYMOYOR-UHFFFAOYSA-N	BRD-K61128465	DNM1
Tubulin inhibitor	docetaxel	ZDZOTLJHXYCWBA-VCVYQWHSSA-N	BRD-K30577245	TUBB
Arginase inhibitor	inhibitor-BEC	OTJHLDXXJHAZTN-SCSAIBSYSA-N	BRD-K53792571	ARG1
Arginase inhibitor	inhibitor-BEC	OTJHLDXXJHAZTN-SCSAIBSYSA-N	BRD-K53792571	ARG2
Exportin antagonist	7b-cis	AICKZRPQDLFSPA-SREVYHEPSA-N	BRD-K61829047	XPO1
Glutamate inhibitor	DCPIB	KHKGTPJPBOQECW-UHFFFAOYSA-N	BRD-A39255369	SLC1A2
Porcupine inhibitor	wnt-c59	KHZOJCQBHJUJFY-UHFFFAOYSA-N	BRD-K78455053	PORCN
Urokinase inhibitor	4-chlorophenylguanidine	ZSJNJAJDBNFVCA-UHFFFAOYSA-N	BRD-K39160765	PLAUR
Abl kinase inhibitor	GNF-2	WEVYNIUIFUYDGI-UHFFFAOYSA-N	BRD-K97056771	ABL1
Abl kinase inhibitor	GNF-2	WEVYNIUIFUYDGI-UHFFFAOYSA-N	BRD-K97056771	BCR
Neprilysin inhibitor	KBG	FOLRUCXBTYDAQK-SFZUHQLGSA-N	BRD-A00376169	MME
Pim kinase inhibitor	SMI-4a	NGJLOFCOEOHFKQ-VMPITWQZSA-N	BRD-K70159787	PIM1
Proteasome inhibitor	ixazomib	MXAYKZJJDUDWDS-LBPRGKRZSA-N	BRD-K78659596	PSMB1
Bromodomain inhibitor	I-BET-762	AAAQFGUYHFJNHI-SFHVURJKSA-N	BRD-K08109215	BRD4
Bromodomain inhibitor	I-BET-762	AAAQFGUYHFJNHI-SFHVURJKSA-N	BRD-K08109215	BRD2
Bromodomain inhibitor	I-BET-762	AAAQFGUYHFJNHI-SFHVURJKSA-N	BRD-K08109215	BRD3
Leukotriene inhibitor	KIN001-055	YVCXQRVVNQMZEI-UHFFFAOYSA-N	BRD-K68407802	JAK3
Microtubule inhibitor	D-64131	ICMIJSRDISNKOC-UHFFFAOYSA-N	BRD-K26997899	TUBB
PPAR receptor agonist	nTZDpa	VUPOTURDKDMIGQ-UHFFFAOYSA-N	BRD-K54708045	PPARG
Gap junction modulator	DCPIB	KHKGTPJPBOQECW-UHFFFAOYSA-N	BRD-A39255369	SLC1A2
Lipoxygenase inhibitor	CDC	XGHYFEJMJXGPGN-CHLGNXTCSA-N	BRD-K10870738	ALOX12
Aurora kinase inhibitor	barasertib-HQPA	QYZOGCMHVIGURT-UHFFFAOYSA-N	BRD-K63923597	AURKB
Casein kinase inhibitor	IC-261	JBJYTZXCZDNOJW-JLHYYAGUSA-N	BRD-K09638361	CSNK1E
NOP receptor antagonist	trap-101	DCRGHMJXEBSRQG-UHFFFAOYSA-N	BRD-K69837166	OPRL1
Opioid receptor agonist	FIT	VDKBIFPJULZUPU-UHFFFAOYSA-N	BRD-K17896185	OPRD1
Phospholipase activator	m-3M3FBS	ZIIUUSVHCHPIQD-UHFFFAOYSA-N	BRD-K09635314	PLCB2
Phospholipase activator	m-3M3FBS	ZIIUUSVHCHPIQD-UHFFFAOYSA-N	BRD-K09635314	PLCB3
Phospholipase activator	m-3M3FBS	ZIIUUSVHCHPIQD-UHFFFAOYSA-N	BRD-K09635314	PLCD1
Phospholipase activator	m-3M3FBS	ZIIUUSVHCHPIQD-UHFFFAOYSA-N	BRD-K09635314	PLCG1
Phospholipase activator	m-3M3FBS	ZIIUUSVHCHPIQD-UHFFFAOYSA-N	BRD-K09635314	PLCG2
Topoisomerase inhibitor	epirubicin	AOJJSUZBOXZQNB-VTZDEGQISA-N	BRD-K04548931	TOP2A
Topoisomerase inhibitor	genz-644282	BAORCAMWLWRZQG-UHFFFAOYSA-N	BRD-K99475619	TOP1
Cyclooxygenase inhibitor	NO-ASA	IOJUJUOXKXMJNF-UHFFFAOYSA-N	BRD-K08807999	PTGS2
Cyclooxygenase inhibitor	salicylic-acid	YGSDEFSMJLZEOE-UHFFFAOYSA-N	BRD-K93632104	PTGS1
Dopamine receptor ligand	3'-fluorobenzylspiperone	DXZKTRNEOISOCA-UHFFFAOYSA-N	BRD-K45662124	DRD2
P-glycoprotein inhibitor	1-monopalmitin	QHZLMUACJMDIAE-UHFFFAOYSA-N	BRD-A80928489	ABCB1
PPAR receptor antagonist	BADGE	LCFVJGUPQDGYKZ-UHFFFAOYSA-N	BRD-A16694057	PPARG
Protein kinase inhibitor	KIN001-242	UPTQGXMIZXGVSC-UHFFFAOYSA-N	BRD-K24859147	RPS6KA3
Dopamine receptor agonist	BP-897	MNHDKMDLOJSCGN-UHFFFAOYSA-N	BRD-K17378184	DRD3
Dopamine receptor agonist	L-stepholidine	JKPISQIIWUONPB-UHFFFAOYSA-N	BRD-A71203467	DRD1
Dopamine receptor agonist	L-stepholidine	JKPISQIIWUONPB-UHFFFAOYSA-N	BRD-A71203467	DRD2
Estrogen receptor agonist	PPT	IOTXSIGGFRQYKW-UHFFFAOYSA-N	BRD-K00312224	ESR1
Potassium channel blocker	BAPTA-AM	YJIYWYAMZFVECX-UHFFFAOYSA-N	BRD-K40919711	KCNA3
Potassium channel blocker	BAPTA-AM	YJIYWYAMZFVECX-UHFFFAOYSA-N	BRD-K40919711	KCNA5
Potassium channel blocker	BAPTA-AM	YJIYWYAMZFVECX-UHFFFAOYSA-N	BRD-K40919711	KCNH2
Adenosine kinase inhibitor	5-iodotubercidin	WHSIXKUPQCKWBY-UHFFFAOYSA-N	BRD-A18497530	MAPK3
Aldose reductase inhibitor	EBPC	FQMSSTZJKSWSMP-UHFFFAOYSA-N	BRD-A96485169	AKR1B1
Glutamate receptor agonist	ATPA	PIXJURSCCVBKRF-UHFFFAOYSA-N	BRD-A65145453	GRIK1
Guanylyl cyclase inhibitor	ODQ	LZMHWZHOZLVYDL-UHFFFAOYSA-N	BRD-K26015241	GUCY1A2
Mediator release inhibitor	KIN001-055	YVCXQRVVNQMZEI-UHFFFAOYSA-N	BRD-K68407802	JAK3
Melatonin receptor agonist	2-iodomelatonin	FJDDSMSDZHURBJ-UHFFFAOYSA-N	BRD-K25649279	MTNR1A
Melatonin receptor agonist	2-iodomelatonin	FJDDSMSDZHURBJ-UHFFFAOYSA-N	BRD-K25649279	MTNR1B
Melatonin receptor agonist	2-iodomelatonin	FJDDSMSDZHURBJ-UHFFFAOYSA-N	BRD-K25649279	NQO2
Melatonin receptor agonist	2-phenylmelatonin	OFCLARYYBGKCHN-UHFFFAOYSA-N	BRD-K41869275	MTNR1A
Melatonin receptor agonist	2-phenylmelatonin	OFCLARYYBGKCHN-UHFFFAOYSA-N	BRD-K41869275	MTNR1B
Opioid receptor antagonist	5'-guanidinonaltrindole	VLNHDKDBGWXJEE-UHFFFAOYSA-N	BRD-A33084410	OPRK1
Opioid receptor antagonist	BNTX	WXOUFNFMPVMGFZ-WLNGDWEISA-N	BRD-A55484088	OPRD1
Opioid receptor antagonist	JDTic	ZLVXBBHTMQJRSX-VMGNSXQWSA-N	BRD-K95837862	OPRK1
Opioid receptor antagonist	trap-101	DCRGHMJXEBSRQG-UHFFFAOYSA-N	BRD-K69837166	OPRL1
Serotonin receptor agonist	5-methoxytryptamine	JTEJPPKMYBDEMY-UHFFFAOYSA-N	BRD-K30197592	HTR2A
Serotonin receptor agonist	5-methoxytryptamine	JTEJPPKMYBDEMY-UHFFFAOYSA-N	BRD-K30197592	HTR6
Serotonin receptor agonist	mCPP	VHFVKMTVMIZMIK-UHFFFAOYSA-N	BRD-K75844781	HTR1D
Serotonin receptor agonist	mCPP	VHFVKMTVMIZMIK-UHFFFAOYSA-N	BRD-K75844781	HTR2A
Serotonin receptor agonist	mCPP	VHFVKMTVMIZMIK-UHFFFAOYSA-N	BRD-K75844781	HTR2B
Serotonin receptor agonist	mCPP	VHFVKMTVMIZMIK-UHFFFAOYSA-N	BRD-K75844781	HTR2C
Serotonin receptor agonist	N-methylquipazine	HOMWNUXPSJQSSU-UHFFFAOYSA-N	BRD-K62056274	HTR2A
Serotonin receptor agonist	N-methylquipazine	HOMWNUXPSJQSSU-UHFFFAOYSA-N	BRD-K62056274	HTR3A
Serotonin receptor agonist	N-methylquipazine	HOMWNUXPSJQSSU-UHFFFAOYSA-N	BRD-K62056274	HTR3B
Serotonin receptor agonist	TCB2	MPBCKKVERDTCEL-UHFFFAOYSA-N	BRD-A31195449	HTR2A
Serotonin receptor agonist	TFMPP	KKIMDKMETPPURN-UHFFFAOYSA-N	BRD-K94887716	HTR1D
Serotonin receptor agonist	TFMPP	KKIMDKMETPPURN-UHFFFAOYSA-N	BRD-K94887716	HTR2A
Adrenergic receptor agonist	DMAB-anabaseine	KHUUTHZSRXABAC-DTQAZKPQSA-N	BRD-K26573499	CHRNA7
Chloride channel antagonist	CFTRinh-172	JIMHYXZZCWVCMI-RIYZIHGNSA-N	BRD-K72004355	CFTR
Chloride channel antagonist	DCPIB	KHKGTPJPBOQECW-UHFFFAOYSA-N	BRD-A39255369	SLC1A2
Phosphodiesterase inhibitor	MBCQ	CNODHOSDWZLJGA-UHFFFAOYSA-N	BRD-K64746805	PDE5A
Cannabinoid receptor agonist	GP-1a	FNOMTMVRTBHRET-UHFFFAOYSA-N	BRD-K65285700	CNR2
Cannabinoid receptor agonist	GP-2a	SPEFJYZGXZENAF-UHFFFAOYSA-N	BRD-K34608650	CNR2
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	DRD1
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	DRD2
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HRH1
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1A
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1D
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1E
Dopamine receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR2A
Dopamine receptor antagonist	L-stepholidine	JKPISQIIWUONPB-UHFFFAOYSA-N	BRD-A71203467	DRD1
Dopamine receptor antagonist	L-stepholidine	JKPISQIIWUONPB-UHFFFAOYSA-N	BRD-A71203467	DRD2
Estrogen receptor antagonist	PHTPP	AEZPAUSGTAHLOQ-UHFFFAOYSA-N	BRD-K76568384	ESR2
Sphingosine kinase inhibitor	SKI-II	ZFGXZJKLOFCECI-UHFFFAOYSA-N	BRD-K20755323	SPHK1
Adenosine deaminase inhibitor	EHNA	IOSAAWHGJUZBOG-MNOVXSKESA-N	BRD-K27450477	ADA
Adenosine deaminase inhibitor	EHNA	IOSAAWHGJUZBOG-MNOVXSKESA-N	BRD-K27450477	PDE2A
Adenosine receptor antagonist	DPCPX	FFBDFADSZUINTG-UHFFFAOYSA-N	BRD-K01824921	ADORA1
Farnesyltransferase inhibitor	tipifarnib-P2	PLHJCIYEEKOWNM-HHHXNRCGSA-N	BRD-K62965247	FNTA
Farnesyltransferase inhibitor	tipifarnib-P2	PLHJCIYEEKOWNM-HHHXNRCGSA-N	BRD-K62965247	FNTB
Glucosyltransferase inhibitor	DL-PDMP	UYNCFCUHRNOSCN-FYYLOGMGSA-N	BRD-K05653692	ASAH1
Glucosyltransferase inhibitor	DL-PDMP	UYNCFCUHRNOSCN-FYYLOGMGSA-N	BRD-K05653692	UGCG
Glutamate receptor antagonist	3-matida	KOMWRBFEDDEWEP-UHFFFAOYSA-N	BRD-A87125127	GRM1
Glutamate receptor antagonist	CPCCOEt	FXCTZFMSAHZQTR-UHFFFAOYSA-N	BRD-A18202423	GRM1
Glutamate receptor antagonist	CTEP	GOHCTCOGYKAJLZ-UHFFFAOYSA-N	BRD-K30572193	GRM5
Glutamate receptor antagonist	MPEP	NEWKHUASLBMWRE-UHFFFAOYSA-N	BRD-K60690191	GRM5
Prostanoid receptor inhibitor	salicylic-acid	YGSDEFSMJLZEOE-UHFFFAOYSA-N	BRD-K93632104	PTGS1
Protein phosphatase inhibitor	BCI-hydrochloride	XJDKPLZUXCIMIS-HKWRFOASSA-N	BRD-A11007541	DUSP1
Protein phosphatase inhibitor	BCI-hydrochloride	XJDKPLZUXCIMIS-HKWRFOASSA-N	BRD-A11007541	DUSP6
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT1
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT3
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT4
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KDR
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KIT
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRA
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRB
RET tyrosine kinase inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	RET
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	DRD1
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	DRD2
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HRH1
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1A
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1D
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR1E
Serotonin receptor antagonist	quetiapine	URKOMYMAXPYINW-UHFFFAOYSA-N	BRD-M66874015	HTR2A
Serotonin receptor antagonist	MM77	MQHOGPLXAXSQAJ-UHFFFAOYSA-N	BRD-K50293352	HTR1A
Serotonin receptor antagonist	SDZ-21009	SJYFDORQYYEJLB-UHFFFAOYSA-N	BRD-A15530910	HTR1A
Serotonin receptor antagonist	SDZ-21009	SJYFDORQYYEJLB-UHFFFAOYSA-N	BRD-A15530910	HTR1B
Serotonin receptor antagonist	TFMPP	KKIMDKMETPPURN-UHFFFAOYSA-N	BRD-K94887716	HTR1D
Serotonin receptor antagonist	TFMPP	KKIMDKMETPPURN-UHFFFAOYSA-N	BRD-K94887716	HTR2A
Adrenergic receptor antagonist	SDZ-21009	SJYFDORQYYEJLB-UHFFFAOYSA-N	BRD-A15530910	HTR1A
Adrenergic receptor antagonist	SDZ-21009	SJYFDORQYYEJLB-UHFFFAOYSA-N	BRD-A15530910	HTR1B
Adrenergic receptor antagonist	timolol	BLJRIMJGRPQVNF-SNVBAGLBSA-N	BRD-K30421593	ADRB1
Adrenergic receptor antagonist	timolol	BLJRIMJGRPQVNF-SNVBAGLBSA-N	BRD-K30421593	ADRB2
